Function,Parameters,Start Line,End Line,Direct Callers,Direct Dependencies,Services,Destructive/Write Ops,Public Naming,Reachability,Risk Hint
getSheetDefinitionByTypeOrNull_,"dashboard, sheetType",729,735,getSheetDefinitionByType_,normalizeDashboardSheetTypeKey_,,,Private/helper,Reachable,Low
getSheetDefinitionByType_,"dashboard, sheetType",736,741,applyCurrentVsOlderTabColors_; applyDashboardSortOrderAlternatingColors_; applyDemoPTemplateToSheet_; applyStandardFormatting_; buildMonthlyChangeReportForMonth_; createActiveDemoPFromRawData_; createDisenrolledExclusionSheetFromDashboardTemplate_; createMasterListSheetFromTemplate_; createOrRefreshDemoPTemplate_; createOrRefreshMasterListTemplate_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyBannerSheet_; formatMonthlyChangeSubsectionBlock; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatRawData; getOrBuildMonthlyChangeReport_; populateMonthlyChangeReportSections_; rebuildProductionMonthlyChangeTemplate; trimOutputSheetToDataSize_; updateExistingDemoPFromRawData_,getSheetDefinitionByTypeOrNull_,,,Private/helper,Reachable,Low
sortSheetDefinitionsByProductionOrder_,sheetDefinitions,742,754,createOrRefreshAllReportTemplates; setReportTemplateVisibility_; validateReportTemplatesCore_,getRequiredFrameworkSheetTypes_; normalizeKey_,,sort,Private/helper,Reachable,High
notify_,message,755,763,archiveRawSourceAndDeleteLocal_; assignSortOrderAndHideExtraRows; buildDemoPFromScratch; buildMonthlyChangeReportForMonth_; clearDiagnosticsAndTimingLogs; createDisenrolledList; createMasterList; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlySheets; formatRawData; hideMonthlySheetsBySpecs_; hideSystemSheetsNow; notifyArchiveMonthlySheetsResult_; notifyErrorWithTiming_; processDemoP; promptForLockedYearReportMonth_; rebuildProductionMonthlyChangeTemplate; runFrameworkSmokeValidation; runMonthlyUpdate; saveActiveLayoutToDashboardSettings; setupSystemSheets; showAllMasterListRows; showQuickStartToast_; showSystemSheetsNow; sortMasterListByParticipantNameAndPMR_; syncBannerSourceIntoData_; syncCarePlanDueSourceIntoData_; syncMasterListFromBanners_; syncMasterListFromCarePlanDue_; syncMasterListFromUnlockedCarePlan_; syncUnlockedCarePlanSourceIntoData_; toggleFrameworkTiming; updateDemoPMonthlySync; updateMasterListForMonth_; writeCombinedFrameworkTimingReport_,logBestEffortWarning_,SpreadsheetApp,,Private/helper,Reachable,Medium
trimExcessRows_,"sheet, minRows",764,775,processDemoP; updateMasterListForMonth_,,,deleteRows,Private/helper,Reachable,High
hideOldDisenrolledRows_,sheet,776,805,createDisenrolledList,coerceToValidDate_; createLocalDateOnly_; getDataValues_; hideRowNumberBatches_; logBestEffortWarning_,,sort,Private/helper,Reachable,High
showQuickStartToast_,message,806,810,quickBuildAllTemplates; quickSystemSetup,notify_,SpreadsheetApp,,Private/helper,Reachable,Medium
quickSystemSetup,,811,824,,createIndexSheet; rebuildFormatDashboardDefaults; runDashboardQualityStartUp; runFrameworkSmokeValidation; setupSystemSheets; showQuickStartToast_,,,Public,Reachable,Low
quickBuildAllTemplates,,825,832,,createOrRefreshAllReportTemplates; runDashboardQualityValidateTemplates; showQuickStartToast_,,,Public,Reachable,Low
notifyErrorWithTiming_,message,833,836,buildDemoPFromScratch; formatRawData; processDemoP; runMonthlyUpdate; updateDemoPMonthlySync; updateMasterListForMonth_,notify_,,,Private/helper,Reachable,Low
isBlankCell_,value,837,841,collectFormatDashboardColumnDefinitionVerificationRows_; collectFormatDashboardTitleRowsVerificationRows_; loadColumnDefinitions_; loadSheetDefinitions_,,,,Private/helper,Reachable,Low
coerceToValidDate_,value,842,892,assignPrimaryRowForBlock_; buildStandardMonthlySheetName_; convertMonthlyChangeReportDateValues_; dateKey_; dateOnlyLocalClone_; formatCarePlanDueOrUnlockedFromDashboard_; formatDateDisplay_; formatMasterListSheet_; formatMonthlyDashboardSheetFromSource_; getMonthDateParts_; getMonthPartsFromTitleRows_; getMostRecentDateFromRowsByHeader_; hideOldDisenrolledRows_; isDateInStrictLocalRangeInclusive_; isExpiredContactPhoneDate_; monthKey_; normalizeCompareValue_; parseIndexMonthDate_; promptForLockedYearReportMonth_,createLocalDateOnly_; isReasonableReportDate_; spreadsheetSerialDateToLocalDate_,,,Private/helper,Reachable,Low
spreadsheetSerialDateToLocalDate_,serialValue,893,912,coerceToValidDate_; convertMonthlyChangeReportDateValues_,isReasonableReportDate_,,,Private/helper,Reachable,Low
isReasonableReportDate_,date,913,917,coerceToValidDate_; spreadsheetSerialDateToLocalDate_,,,,Private/helper,Reachable,Low
createLocalDateOnly_,"year, month, day",918,921,coerceToValidDate_; dateOnlyLocalClone_; extractFirstDateFromSheetName_; getTodayLocalDate_; hideOldDisenrolledRows_; isDateInStrictLocalRangeInclusive_; parseIndexMonthDate_; promptForLockedYearReportMonth_,,,,Private/helper,Reachable,Low
getTodayLocalDate_,,922,926,applyDisenrolledExclusionCreateFormattingOnly_; buildDatedDisenrolledOutputName_; createDisenrolledExclusionSheetFromDashboardTemplate_; isExpiredContactPhoneDate_,createLocalDateOnly_,,,Private/helper,Reachable,Low
getMonthDateParts_,date,927,951,applyDemoPTemplateFormatting_; createIndexSheet; enforceGlobalSheetSortOrder_; ensureStandardTitleRows_; organizeSheetTabs_; promptForLockedYearReportMonth_,coerceToValidDate_; formatDateForSheetName_,Session; Utilities,,Private/helper,Reachable,Medium
formatDateForSheetName_,date,952,955,buildDashboardOutputSheetName_; buildMonthlyChangeReportForMonth_; getMonthDateParts_,,Session; Utilities,,Private/helper,Reachable,Medium
formatDateDisplay_,date,956,960,displayValueForReport_; formatMergeAuditValueForDisplay_,coerceToValidDate_,Session; Utilities,,Private/helper,Reachable,Medium
dateKey_,value,961,965,getMonthlySheetLookupCacheKey_; isSameDate_,coerceToValidDate_,Session; Utilities,,Private/helper,Reachable,Medium
isSameDate_,"a, b",966,969,buildMonthlyChangeSectionRows_; compareRawDemoPForChanges_; compareRawDemoPForSectionReport_,dateKey_,,,Private/helper,Reachable,Low
isSameMonth_,"a, b",970,973,compareRawDemoPForChanges_,monthKey_,,,Private/helper,No static path,Low
buildMonthlySheetName_,"prefix, firstDay, lastDay",974,979,buildMonthlyChangeReportForMonth_; copyPreviousMasterListToCurrentMonth_; createIndexSheet; createMasterList; getOrBuildMonthlyChangeReport_; organizeWorkbookTabs_,buildStandardMonthlySheetName_,,,Private/helper,Reachable,Low
buildStandardMonthlySheetName_,"prefix, monthDate",980,985,buildMonthlySheetNameNoDashAfterPrefix_; buildMonthlySheetName_; createIndexSheet; getMonthlySheetByPrefixAndDate_; organizeWorkbookTabs_,coerceToValidDate_,Session; Utilities,,Private/helper,Reachable,Medium
getNewestFormattedMonthlySheetByPrefix_,"ss, prefix",986,1016,getCurrentBannersSheet_; getCurrentCarePlanDueSheet_; getCurrentUnlockedCarePlanSheet_; getMonthlySheetByPrefixAndDate_,monthKey_; parseStandardMonthlySheetDateFromName_,,sort,Private/helper,Reachable,High
getMonthlySheetByPrefixAndDate_,"ss, prefix, firstDay, lastDay",1017,1050,getCurrentBannersSheet_; getCurrentCarePlanDueSheet_; getCurrentDemoPSheet_; getCurrentMasterListSheet_; getCurrentRawDataSheet_; getCurrentUnlockedCarePlanSheet_; getDemoPMonthlySyncChangedPMRs_; getOrBuildMonthlyChangeReport_; getPreviousDemoPSheet_; getPreviousMasterListSheet_; getPreviousRawDataSheet_; organizeWorkbookTabs_,buildStandardMonthlySheetName_; getMonthlySheetLookupCacheKey_; getNewestFormattedMonthlySheetByPrefix_,,,Private/helper,Reachable,Low
setUniqueSheetName_,"sheet, desiredName",1051,1082,buildMonthlyChangeReportForMonth_; createDisenrolledExclusionSheetFromDashboardTemplate_; createMasterList; getOrBuildMonthlyChangeReport_; processDemoP,clearMonthlySheetLookupCache_; clearSheetRuntimeCachesForSheet_,,,Private/helper,Reachable,Low
getHeaders_,"sheet, headerRow",1083,1103,applyDashboardSortOrderAlternatingColors_; applyDemoPDateFormattingByHeader_; buildRawDataHeadersForFormatting_; buildSourceMapByCompositeKeyForDemoPBanner_; copyChangedPMRsFromDemoPToMasterList_; copyPrimaryDemoPRowsToMasterListByHeader_; copyQualifyingDemoPRowsToMasterList_; enforceDemoPStrictDashboardSchema_; ensureHeaders_; ensurePrimaryPMRRowColumn_; getDataValues_; getHeaderMap_; getRawDataCurrentHeadersOrDefaults_; hideNonPrimaryPMRRows_; moveDisenrolledPMRsFromDemoPToExclusion_; prepareRawDataSourceSheetForDashboardFormat_; removeActiveDemoPPMRsFromDisenrolledExclusion_; removeDisenrolledPMRBlocksFromMasterUsingDemoP_; sortMasterListByParticipantNameAndPMR_; sortSheetAlphabeticallyByParticipantName_; updateDemoPMonthlySync,getHeaderCacheKey_,,,Private/helper,Reachable,Low
getHeaderMap_,"sheet, headerRow",1104,1118,copyPrimaryDemoPRowsToMasterListByHeader_; getDataValues_,buildHeaderIndexMap_; getHeaderCacheKey_; getHeaders_,,,Private/helper,Reachable,Low
buildHeaderIndexMap_,headers,1119,1127,appendDisenrolledDeltasToExclusionSheet_; buildDemoPFreshRowsForPMRs_; buildSourceMapByCompositeKeyForDemoPBanner_; copyChangedPMRsFromDemoPToMasterList_; copyQualifyingDemoPRowsToMasterList_; createActiveDemoPFromRawData_; ensureHeaders_; ensurePrimaryPMRRowColumn_; flattenDemoPContactRowsInMemory_; getChangedPMRsFromMonthlyChangeReport_; getHeaderMap_; getRawDataSourceDataForOutput_; hideNonPrimaryPMRRows_; loadDisenrolledExclusionPMRsForPart3_; mapRowsToHeaders_; moveDisenrolledPMRsFromDemoPToExclusion_; removeActiveDemoPPMRsFromDisenrolledExclusion_; removeDisenrolledPMRBlocksFromMasterUsingDemoP_; sortMasterListByParticipantNameAndPMR_; sortSheetAlphabeticallyByParticipantName_; updateExistingDemoPFromRawData_,,,,Private/helper,Reachable,Low
findHeaderIndex_,"headerMap, possibleNames",1128,1134,appendDisenrolledDeltasToExclusionSheet_; buildDisenrolledPMRSetFromDemoPValues_; buildMonthlyChangeSectionRows_; getDOBIndex_; getPMRIndex_; moveDisenrolledPMRsFromDemoPToExclusion_; removeActiveDemoPPMRsFromDisenrolledExclusion_; splitRawDataRowsIntoActiveAndDisenrolled_,,,,Private/helper,Reachable,Low
normalizeHeader_,value,1135,1141,buildTemplateFormatSignature_; getAllUniqueHeaders_; isDateLikeHeader_; loadColumnDefinitions_; loadSheetHeaders_; normalizeDashboardSheetTypeKey_; rowLooksLikeParticipantHeader_; upsertDashboardColumnDefinitionRows_; validateBannerFormatterOutput_,,,,Private/helper,Reachable,Low
normalizePMR_,value,1142,1149,appendDisenrolledDeltasToExclusionSheet_; assignPrimaryPMRRowsInData_; assignPrimaryPMRRows_; buildDemoPFreshRowsForPMRs_; buildDisenrolledPMRSetFromDemoPValues_; buildMergeRowsByPMRFromData_; buildOutputRows_; buildParticipantBlocksForSortOrder_; buildParticipantContactKey_; buildRowsByPMR_; buildSourceHashByPMR_; copyChangedPMRsFromDemoPToMasterList_; copyPrimaryDemoPRowsToMasterListByHeader_; copyQualifyingDemoPRowsToMasterList_; flattenDemoPContactRowsInMemory_; flattenDemoPContactsToPrimaryRows_; getChangedPMRsFromMonthlyChangeReport_; getDemoPMonthlySyncChangedPMRs_; getRawDemoPDataForCompare_; hideNonPrimaryPMRRows_; loadDisenrolledExclusionPMRsForPart3_; loadDisenrolledPMRSetForMonth_; markPrimaryPMRRowsForSequentialData_; moveDisenrolledPMRsFromDemoPToExclusion_; populateUniversalMetadataColumns_; processBlankContactSummariesOnDemoP_; processDemoPDataWithFillBlankMask_; removeActiveDemoPPMRsFromDisenrolledExclusion_; removeDisenrolledPMRBlocksFromMasterUsingDemoP_; shouldProcessRowByPMR_; sortMasterListByParticipantNameAndPMR_; splitRawDataRowsIntoActiveAndDisenrolled_; updateDemoPMonthlySync; writePMRContactsToParticipantRows_,,,,Private/helper,Reachable,Low
getPMRIndex_,headerMap,1150,1153,appendDisenrolledDeltasToExclusionSheet_; assignPrimaryPMRRowsInData_; assignPrimaryPMRRows_; buildDisenrolledPMRSetFromDemoPValues_; buildMergeRowsByPMRFromData_; buildMonthlyChangeSectionRows_; buildRowsByPMR_; copyChangedPMRsFromDemoPToMasterList_; copyPrimaryDemoPRowsToMasterListByHeader_; copyQualifyingDemoPRowsToMasterList_; flattenDemoPContactRowsInMemory_; flattenDemoPContactsToPrimaryRows_; getChangedPMRsFromMonthlyChangeReport_; getDemoPMonthlySyncChangedPMRs_; getRawDemoPDataForCompare_; hideNonPrimaryPMRRows_; loadDisenrolledExclusionPMRsForPart3_; loadDisenrolledPMRSetForMonth_; markPrimaryPMRRowsForSequentialData_; moveDisenrolledPMRsFromDemoPToExclusion_; populateUniversalMetadataColumns_; processBlankContactSummariesOnDemoP_; processDemoPDataWithFillBlankMask_; removeActiveDemoPPMRsFromDisenrolledExclusion_; removeDisenrolledPMRBlocksFromMasterUsingDemoP_; shouldProcessRowByPMR_; sortMasterListByParticipantNameAndPMR_; splitRawDataRowsIntoActiveAndDisenrolled_; syncRawDataBannerColumns_; updateDemoPMonthlySync; validateRawDataPreflightForDemoP_; writePMRContactsToParticipantRows_,findHeaderIndex_,,,Private/helper,Reachable,Low
validateRawDataPreflightForDemoP_,"rawSheet, rawData, workflowName",1154,1185,buildDemoPFreshRowsForPMRs_; createActiveDemoPFromRawData_; updateExistingDemoPFromRawData_,getDataValues_; getPMRIndex_,,,Private/helper,Reachable,Low
getDOBIndex_,headerMap,1186,1189,assignPrimaryRowForBlock_; buildMonthlyChangeSectionRows_; compareSingleFieldAndAdd_; copyPrimaryDemoPRowsToMasterListByHeader_; getRawDemoPDataForCompare_; rowsWithDOBOnlyForSection_; shouldProcessRowByPMR_,findHeaderIndex_,,,Private/helper,Reachable,Low
normalizeKeyPart_,value,1190,1207,buildParticipantContactKey_; buildSourceMapByCompositeKeyForDemoPBanner_; buildSourceMapByCompositeKeyForPart5_; buildSourceMapBySingleKeyForPart5_; sortMasterListByParticipantNameAndPMR_; syncRawDataBannerColumns_; syncRowsFromSourceMapData_; syncRowsFromSourceMap_,,,,Private/helper,Reachable,Low
getDataValues_,"sheet, headerRow, dataStartRow",1208,1246,assignPrimaryPMRRows_; buildRowsByPMR_; buildSourceMapByCompositeKeyForPart5_; buildSourceMapBySingleKeyForPart5_; copyChangedPMRsFromDemoPToMasterList_; copyPrimaryDemoPRowsToMasterListByHeader_; createMasterList; flattenDemoPContactsToPrimaryRows_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_; getDemoPMonthlySyncChangedPMRs_; getRawDemoPDataForCompare_; hideOldDisenrolledRows_; loadDisenrolledPMRSetForMonth_; mergeSecondaryRowsFromDemoPForPMRs_; moveDisenrolledPMRsFromDemoPToExclusion_; processBlankContactSummariesOnDemoP_; processDemoPAsWorkingSource_; processMasterListSingleDataPass_; processRawDataApprovedSyncColumns_; removeActiveDemoPPMRsFromDisenrolledExclusion_; syncRawDataBannerColumns_; syncRowsFromSourceMap_; updateDemoPMonthlySync; updatePrimaryRowsFromDemoPForPMRs_; validateRawDataPreflightForDemoP_,getHeaderMap_; getHeaders_; getSheetDimensions_,,,Private/helper,Reachable,Low
getRawDataSourceDataForOutput_,sheet,1247,1282,formatMonthlyRawDataSheetFromSource_; formatRawData,buildHeaderIndexMap_; rawDataSourceHeaderRow_,,,Private/helper,Reachable,Low
rawDataSourceHeaderRow_,sheet,1283,1297,getRawDataSourceDataForOutput_,rowLooksLikeParticipantHeader_,,,Private/helper,Reachable,Low
ensurePrimaryPMRRowColumn_,sheet,1298,1314,assignPrimaryPMRRows_,buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; getHeaders_,,setValue,Private/helper,Reachable,High
assignPrimaryRowForBlock_,"block, headerMap, primaryIdx",1315,1352,assignPrimaryPMRRowsInData_,coerceToValidDate_; getDOBIndex_; normalizeCompareValue_,,sort,Private/helper,Reachable,High
deleteRowNumberBatches_,"sheet, rowNumbers",1353,1386,collectFrameworkSmokeValidationRows_; deletePMRBlocksFromMasterListBySet_; mergeSecondaryRowsFromDemoPForPMRs_; moveDisenrolledPMRsFromDemoPToExclusion_; removeActiveDemoPPMRsFromDisenrolledExclusion_; updateDemoPMonthlySync,clearSheetRuntimeCachesForSheet_,,deleteRows; sort,Private/helper,Reachable,High
buildMasterListHeadersBeforeDataCopy_,"demoSheet, masterSheet",1387,1395,createMasterList,clearSheetRuntimeCachesForSheet_; ensureSheetMinimumColumns_; getHeadersForSheetType_; loadDashboardConfig_,,setValues,Private/helper,Reachable,High
ensureHeaders_,"sheet, headers, headerRow",1396,1423,copyPreviousMasterListToCurrentMonth_; ensureBannerSummaryOutputHeaders_; ensureContactOutputHeaders_; processMasterListFull_; processMasterListSingleDataPass_,buildHeaderIndexMap_; clearSheetRuntimeCachesForSheet_; ensureSheetMinimumColumns_; getHeaders_,,setValues,Private/helper,Reachable,High
ensureBannerSummaryOutputHeaders_,sheet,1424,1427,copyPreviousMasterListToCurrentMonth_; processMasterListFull_; processMasterListSingleDataPass_,ensureHeaders_,,,Private/helper,Reachable,Low
ensureContactOutputHeaders_,sheet,1428,1441,copyPreviousMasterListToCurrentMonth_; processMasterListFull_; processMasterListSingleDataPass_,ensureHeaders_,,,Private/helper,Reachable,Low
trimOutputSheetToDataSize_,"sheet, rowCount, sheetType",1442,1451,createMasterList,forceSheetRowCount_; getSheetDefinitionByType_; loadDashboardConfig_; loadGlobalSettings_; resolveTemplateRowCount_,,,Private/helper,Reachable,Low
copyChangedPMRsFromDemoPToMasterList_,"demoSheet, masterSheet, pmrSet, monthParts",1452,1486,updateMasterListFromMonthlyChangeActions_,buildHeaderIndexMap_; buildMappedMasterRowFromDemoRow_; clearSheetRuntimeCachesForSheet_; getDataValues_; getHeaders_; getPMRIndex_; normalizePMR_,,setValues,Private/helper,Reachable,High
applyFinalRowHeightLock_,"sheet, height",1487,1491,,lockFinalOutputRowHeights_,,,Private/helper,No static path,Low
normalizeCompareValue_,value,1492,1522,assignPrimaryRowForBlock_; buildColumnSignaturesForSection_; buildContactCompareMap_; buildDisenrolledPMRSetFromDemoPValues_; buildMonthlyChangeSectionRows_; buildOutputRows_; buildParticipantName_; combineNotesSummaryData_; compareRawDemoPForChanges_; compareSingleFieldAndAdd_; copyPrimaryDemoPRowsToMasterListByHeader_; flattenDemoPContactRowsInMemory_; flattenDemoPContactsToPrimaryRows_; getPrimaryRowScore_; getRawDemoPDataForCompare_; moveDisenrolledPMRsFromDemoPToExclusion_; populateDemoPNameData_; populateParticipantNameData_; processBlankContactSummariesOnDemoP_; processDemoPDataWithFillBlankMask_; removeActiveDemoPPMRsFromDisenrolledExclusion_; rowsWithDOBOnlyForSection_; shouldProcessRowByPMR_; splitRawDataRowsIntoActiveAndDisenrolled_; updateBannerColumnData_; valuesAreEqual_; writePMRContactsToParticipantRows_,coerceToValidDate_,,,Private/helper,Reachable,Low
valuesAreEqual_,"a, b",1523,1526,compareRawDemoPForChanges_; compareSingleFieldAndAdd_; getMergeAuditChangedFields_; getPrimaryRowChangedColumnDetails_; writeChangedColumnsOnly_,normalizeCompareValue_,,,Private/helper,Reachable,Low
normalizeText_,value,1527,1530,compareValues_; normalizeKey_; safeSheetName_,,,,Private/helper,Reachable,Low
normalizeKey_,value,1531,1534,normalizeDashboardSheetTypeKey_; sortSheetDefinitionsByProductionOrder_,normalizeText_,,,Private/helper,Reachable,Low
numberOrDefault_,"value, fallback",1535,1539,captureActiveSheetLayoutSnapshot_; collectFormatDashboardColumnDefinitionVerificationRows_; collectFormatDashboardTitleRowsVerificationRows_; getDefaultSheetDefinitionRowsWithColumnCounts_; getThemeColorsFromBase_; loadColumnDefinitions_; loadGlobalSettings_; loadSheetDefinitions_; loadSheetHeaders_; loadTitleRows_; parseTitleRowConfigRow_; resolveTemplateRowCount_; toNumber_,,,,Private/helper,Reachable,Low
parseBoolean_,value,1540,1548,loadColumnDefinitions_; loadSheetBehaviors_; loadSheetDefinitions_; toBool_; truthy_,,,,Private/helper,Reachable,Low
clearHeaderCacheForSheet_,sheet,1549,1564,clearSheetRuntimeCachesForSheet_; copyDemoPHeaderRowsToMasterList_,,,,Private/helper,Reachable,Low
clearSheetRuntimeCachesForSheet_,sheet,1565,1569,appendDisenrolledDeltasToExclusionSheet_; applyDemoPTemplateToSheet_; buildMasterListHeadersBeforeDataCopy_; copyChangedPMRsFromDemoPToMasterList_; copyPreviousMasterListToCurrentMonth_; copyPrimaryDemoPRowsToMasterListByHeader_; createActiveDemoPFromRawData_; createDisenrolledExclusionSheetFromDashboardTemplate_; createMasterListSheetFromTemplate_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; deletePMRBlocksFromMasterListBySet_; deleteRowNumberBatches_; enforceDemoPStrictDashboardSchema_; ensureHeaders_; ensurePrimaryPMRRowColumn_; ensureRawDataHeaderRows_; flattenDemoPContactsToPrimaryRows_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyDashboardSheetFromSource_; formatMonthlyRawDataSheetFromSource_; formatRawData; getOrCreateDemoPProcessingSheet_; initializeMasterListTitleRows_; mergeSecondaryRowsFromDemoPForPMRs_; moveDisenrolledPMRsFromDemoPToExclusion_; prepareCarePlanSourceSheetForDashboardFormat_; processBlankContactSummariesOnDemoP_; processDemoP; processDemoPAsWorkingSource_; processRawDataApprovedSyncColumns_; removeActiveDemoPPMRsFromDisenrolledExclusion_; setUniqueSheetName_; syncRawDataBannerColumns_; updateDemoPMonthlySync; updateExistingDemoPFromRawData_; updatePrimaryRowsFromDemoPForPMRs_,clearHeaderCacheForSheet_; clearSheetDimensionCacheForSheet_,,,Private/helper,Reachable,Low
getHeaderCacheKey_,"sheet, headerRow",1570,1576,getHeaderMap_; getHeaders_,,,,Private/helper,Reachable,Low
clearMonthlySheetLookupCache_,,1577,1582,copySheetToArchiveAndDeleteLocal_; deleteSheetIfExistsForDemoPProcess_; enforceGlobalSheetSortOrder_; setUniqueSheetName_,,,,Private/helper,Reachable,Low
getMonthlySheetLookupCacheKey_,"ss, prefix, firstDay, lastDay",1583,1589,getMonthlySheetByPrefixAndDate_,dateKey_,,,Private/helper,Reachable,Low
getSheetDimensionCacheKey_,sheet,1590,1593,clearSheetDimensionCacheForSheet_; getSheetDimensions_,,,,Private/helper,Reachable,Low
clearSheetDimensionCacheForSheet_,sheet,1594,1599,clearSheetRuntimeCachesForSheet_; resizeSheetGrid_,getSheetDimensionCacheKey_,,,Private/helper,Reachable,Low
getSheetDimensions_,sheet,1600,1618,getDataValues_; resizeSheetColumns_; resizeSheetGrid_; resizeSheetRows_,getSheetDimensionCacheKey_,,,Private/helper,Reachable,Low
dateOnlyLocalClone_,date,1619,1625,,coerceToValidDate_; createLocalDateOnly_,,,Private/helper,No static path,Low
monthKey_,value,1626,1630,getNewestFormattedMonthlySheetByPrefix_; isSameMonth_,coerceToValidDate_,Session; Utilities,,Private/helper,Reachable,Medium
parseStandardMonthlySheetDateFromName_,"sheetName, prefix",1631,1650,getNewestFormattedMonthlySheetByPrefix_,,,,Private/helper,Reachable,Low
buildRowsByPMR_,"sheet, headerRow, dataStartRow",1651,1684,deletePMRBlocksFromMasterListBySet_,getDataValues_; getPMRIndex_; normalizePMR_,,,Private/helper,Reachable,Low
safeSheetName_,value,1685,1691,buildDashboardOutputSheetName_,normalizeText_,,,Private/helper,Reachable,Low
compareValues_,"left, right",1692,1696,,normalizeText_,,,Private/helper,String referenced,Low
toBool_,value,1697,1700,,parseBoolean_,,,Private/helper,String referenced,Low
truthy_,value,1701,1704,,parseBoolean_,,,Private/helper,String referenced,Low
toNumber_,"value, fallback",1705,1708,,numberOrDefault_,,,Private/helper,String referenced,Low
resizeSheetMinimum_,"sheet, rowCount, colCount",1709,1723,,,,,Private/helper,No static path,Low
getThemeColorsFromBase_,"hex, globals",1724,1735,applyCurrentVsOlderTabColors_; applyDashboardSortOrderAlternatingColors_; applyDataRows_; applyGovernedAlternatingColorsIfEnabled_; applyIndexSheetRowFills_; applyStandardFormatting_; applyTemplateBaseFormatting_; applyTemplateFreezeAndTabColor_; captureActiveSheetLayoutSnapshot_; createIndexSheet; formatMonthlyChangeSubsectionBlock_; populateMonthlyChangeReportSections_; rebuildProductionMonthlyChangeTemplate,hexWithHslLightness_; normalizeHex_; numberOrDefault_,,,Private/helper,Reachable,Low
getGlobalBorderStyle_,globals,1736,1740,applyDashboardQualityReportColumnSettings_; applyTemplateBaseFormatting_,,SpreadsheetApp,,Private/helper,Reachable,Medium
