Function name,Start line,End line,Function type,Primary responsibility,Module or logical ownership,Functions called,Functions calling it (determinable),Dependencies,External services used,Sheets accessed,Configuration objects referenced,Dashboard components referenced,Read operations,Write operations,Destructive operations,Trigger usage,Error handling,Logging,Complexity assessment
writeDashboardDefaultsFast_,553,631,Dashboard; Configuration; Internal/private,Implement write dashboard defaults fast,Format Dashboard governance,appendDashboardSectionRows_; getDefaultBehaviorRows_; getDefaultGlobalSettingsRows_; getDefaultSheetDefinitionRowsWithColumnCounts_; getDefaultSheetHeaderRows_; getDefaultSystemSurfaceRows_; getDefaultTabOrganizationRows_; getDefaultTitleRowRows_; getFormatDashboardExpectedSectionHeaders_; getResolvedDefaultColumnDefinitionRows_; logBestEffortWarning_; normalizeSectionRowForWidth_; rowColToA1_; trimSheetToColumnCount_,setupReportFormattingDashboardFromScriptDefaults_,RFF_SECTION_BEHAVIORS; RFF_SECTION_COLUMNS; RFF_SECTION_GLOBAL; RFF_SECTION_HEADERS; RFF_SECTION_SHEETS; RFF_SECTION_SYSTEM_SURFACES; RFF_SECTION_TAB_ORGANIZATION; RFF_SECTION_TITLE_ROWS; appendDashboardSectionRows_; getDefaultBehaviorRows_; getDefaultGlobalSettingsRows_; getDefaultSheetDefinitionRowsWithColumnCounts_; getDefaultSheetHeaderRows_; getDefaultSystemSurfaceRows_; getDefaultTabOrganizationRows_; getDefaultTitleRowRows_; getFormatDashboardExpectedSectionHeaders_; getResolvedDefaultColumnDefinitionRows_; logBestEffortWarning_; normalizeSectionRowForWidth_; rowColToA1_; trimSheetToColumnCount_,SpreadsheetApp,").trim();
    if (first.indexOf(; Dashboard column width skipped: ; Dashboard filter remove skipped: ; Format Dashboard; RFF_SECTION_SHEETS",RFF_SECTION_BEHAVIORS; RFF_SECTION_COLUMNS; RFF_SECTION_GLOBAL; RFF_SECTION_HEADERS; RFF_SECTION_SHEETS; RFF_SECTION_SYSTEM_SURFACES; RFF_SECTION_TAB_ORGANIZATION; RFF_SECTION_TITLE_ROWS,Dashboard column width skipped: ; Dashboard filter remove skipped: ; Format Dashboard,getFilter(); getLastRow(); getMaxRows(); getRange(),insertRowsAfter(); setBackground(); setColumnWidth(); setFontColor(); setFontSize(); setFontWeight(); setFrozenRows(); setHorizontalAlignment(); setValues(); setVerticalAlignment(); setWrapStrategy(),clearContent(); remove(),None detected,try/catch,logBestEffortWarning_,"Medium (LOC 79, branches 9)"
rebuildFormatDashboardDefaults,633,635,Menu function; Public entry point; Formatter; Dashboard; Configuration,Implement rebuild format dashboard defaults,Format Dashboard governance,setupReportFormattingDashboardFromScriptDefaults_,formatDashboard; quickSystemSetup,setupReportFormattingDashboardFromScriptDefaults_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
setupReportFormattingDashboardFromScriptDefaults_,637,650,Formatter; Dashboard; Configuration; Internal/private; Utility,Set up report formatting dashboard from script defaults,Format Dashboard governance,clearDashboardConfigCache_; insertGovernedOutputSheet_; markFrameworkStep_; placeCreatedSheetInConfiguredOrder_; runFrameworkTimed_; showSheetIfNeeded_; writeDashboardDefaultsFast_,rebuildFormatDashboardDefaults; setupReportFormattingDashboard,RFF_DASHBOARD_SHEET; clearDashboardConfigCache_; insertGovernedOutputSheet_; markFrameworkStep_; placeCreatedSheetInConfiguredOrder_; runFrameworkTimed_; showSheetIfNeeded_; writeDashboardDefaultsFast_,SpreadsheetApp,Dashboard sheet shown; Format Dashboard defaults rebuilt and placed in configured system order; Setup Report Formatting Dashboard; RFF_DASHBOARD_SHEET,RFF_DASHBOARD_SHEET,Dashboard sheet shown; Format Dashboard defaults rebuilt and placed in configured system order; Setup Report Formatting Dashboard,getActiveSpreadsheet(); getSheetByName(),None detected,None detected,None detected,None explicit,markFrameworkStep_,"Low (LOC 14, branches 1)"
normalizeDashboardSheetTypeKey_,653,669,Dashboard; Internal/private; Utility,Implement normalize dashboard sheet type key,Format Dashboard governance,normalizeHeader_; normalizeKey_,applyOutputVisibilityPolicy_; applyStandardFormatting_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; createTemplateFromScriptDefaultsForActiveBuild_; getBehaviorForSheetType_; getDefaultBehaviorForSheetType_; getDefaultSheetDefinitionByType_; getDefaultSheetDefinitionRowsWithColumnCounts_; getHeadersForSheetType_; getSheetDefinitionByTypeOrNull_; getTitleRowConfigForSheet_; loadSheetBehaviors_; loadSheetDefinitions_; loadSheetHeaders_; loadTitleRows_; resolveSheetDefinitionForLayoutSnapshot_; upsertDashboardSheetDefinitionBaseColor_; writeDashboardLayoutSnapshotSection_,RFF_SHEET_TYPES; normalizeHeader_; normalizeKey_,None detected,banner; banners; disenrolledexclusion; BANNER; CARE_PLAN_DUE; DEMO_P; DISENROLLED_EXCLUSION; MASTER_LIST; MONTHLY_CHANGE; RAW_DATA; RFF_SHEET_TYPES; UNLOCKED,RFF_SHEET_TYPES,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 17, branches 0)"
getSheetDefinitionByTypeOrNull_,671,676,Internal/private; Utility,Resolve or return sheet definition by type or null,Sheet utilities,normalizeDashboardSheetTypeKey_,getSheetDefinitionByType_,normalizeDashboardSheetTypeKey_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 6, branches 0)"
getSheetDefinitionByType_,678,682,Internal/private; Utility,Resolve or return sheet definition by type,Sheet utilities,getSheetDefinitionByTypeOrNull_,applyDashboardSortOrderAlternatingColors_; applyDemoPTemplateToSheet_; buildMonthlyChangeReportForMonth_; createOrRefreshDemoPTemplate_; createOrRefreshMasterListTemplate_; formatMonthlyChangeSubsectionBlock; formatRawDataInPlaceSheet_; populateMonthlyChangeReportSections_; rebuildProductionMonthlyChangeTemplate,getSheetDefinitionByTypeOrNull_,None detected,Sheet definition not found in dashboard: ,None detected,Sheet definition not found in dashboard: ,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 5, branches 1)"
getDefaultSheetDefinitionByType_,684,706,Configuration; Internal/private; Utility,Resolve or return default sheet definition by type,Sheet utilities,getDefaultSheetDefinitionRowsWithColumnCounts_; getDefaultSheetDefinitionRows_; normalizeDashboardSheetTypeKey_; normalizeHex_; numberOrDefault_; parseBoolean_,applyStandardFormatting_; getTemplateDrivenActiveSheetContext_; trimOutputSheetToDataSize_,RFF_DEFAULTS; getDefaultSheetDefinitionRowsWithColumnCounts_; getDefaultSheetDefinitionRows_; normalizeDashboardSheetTypeKey_; normalizeHex_; numberOrDefault_; parseBoolean_,None detected,").trim(),
      templateName: String(row[2] || (; Default sheet definition not found: ",RFF_DEFAULTS,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 23, branches 3)"
createTemplateFromScriptDefaultsForActiveBuild_,708,738,Formatter; Configuration; Internal/private; Utility,Create template from script defaults for active build,Template governance,clearSheetRuntimeCachesForSheet_; ensureStandardTitleRows_; getDefaultHeaderSets_; hideSheetIfNeeded_; insertGovernedOutputSheet_; logBestEffortWarning_; normalizeDashboardSheetTypeKey_; placeCreatedSheetInConfiguredOrder_; resizeSheetGrid_; setUniqueSheetName_,getTemplateDrivenActiveSheetContext_,DATA_START_ROW; HEADER_ROW; RFF_BASE_TEMPLATE_NAME; RFF_DEFAULTS; clearSheetRuntimeCachesForSheet_; ensureStandardTitleRows_; getDefaultHeaderSets_; hideSheetIfNeeded_; insertGovernedOutputSheet_; logBestEffortWarning_; normalizeDashboardSheetTypeKey_; placeCreatedSheetInConfiguredOrder_; resizeSheetGrid_; setUniqueSheetName_,SpreadsheetApp,Active-build template environment setup skipped for ; Missing active-build template created from script defaults: ; RFF_BASE_TEMPLATE_NAME,DATA_START_ROW; HEADER_ROW; RFF_BASE_TEMPLATE_NAME; RFF_DEFAULTS,None detected,getRange(); getSheetByName(),copyTo(); setFrozenColumns(); setFrozenRows(); setTabColor(); setValue(); setValues(),None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 31, branches 5)"
getTemplateDrivenActiveSheetContext_,740,750,Formatter; Internal/private; Utility,Resolve or return template driven active sheet context,Template governance,createTemplateFromScriptDefaultsForActiveBuild_; getDefaultSheetDefinitionByType_; getHeaders_,appendDisenrolledDeltasToExclusionSheet_; createActiveDemoPFromRawData_; createDisenrolledExclusionSheetFromDashboardTemplate_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; enforceDemoPPostFlattenFormatting_; formatBannerReport; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlyBannerSheet_; formatMonthlyDashboardSheetFromSource_; updateExistingDemoPFromRawData_,HEADER_ROW; createTemplateFromScriptDefaultsForActiveBuild_; getDefaultSheetDefinitionByType_; getHeaders_,SpreadsheetApp, + sheetDef.templateName + ,HEADER_ROW,None detected,getSheetByName(),None detected,None detected,None detected,throws errors,None detected,"Low (LOC 11, branches 2)"
getActiveWorkflowBlockedSheetNames_,751,762,Internal/private; Utility,Resolve or return active workflow blocked sheet names,Sheet utilities,None detected,assertActiveWorkflowSourceSheet_,RFF_BASE_TEMPLATE_NAME; RFF_DASHBOARD_QUALITY_SHEET; RFF_DASHBOARD_SHEET; RFF_TEST_DASHBOARD_SHEET,None detected,DEMO_P_ARCHIVE_SHEET; INDEX_SHEET; RFF_BASE_TEMPLATE_NAME; RFF_DASHBOARD_QUALITY_SHEET; RFF_DASHBOARD_SHEET; RFF_TEST_DASHBOARD_SHEET; RFF_TIMING_SHEET; RFF_VALIDATION_SHEET,RFF_BASE_TEMPLATE_NAME; RFF_DASHBOARD_QUALITY_SHEET; RFF_DASHBOARD_SHEET; RFF_TEST_DASHBOARD_SHEET,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 12, branches 0)"
isTemplateSheetName_,764,766,Formatter; Internal/private; Utility,Boolean test for template sheet name,Template governance,None detected,assertActiveWorkflowSourceSheet_,None detected,None detected,).trim().indexOf(,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
assertActiveWorkflowSourceSheet_,768,783,Validator; Internal/private,Assert active workflow source sheet,Sheet utilities,getActiveWorkflowBlockedSheetNames_; isTemplateSheetName_,assertActiveBannerOutputSheet_; assertActiveBannerSourceSheet_; assertActiveRawDataSourceSheet_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlySheets,getActiveWorkflowBlockedSheetNames_; isTemplateSheetName_,None detected," + sheetName + ;  appears to be an output sheet, not a source sheet for ;  is not a valid source/output sheet for ; ).trim();
  if (!sheetName) throw new Error(; );
  const sheetName = String(sheet.getName() || ; No active sheet found. Select the source sheet before running ; The active sheet ",None detected,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 16, branches 7)"
assertActiveRawDataSourceSheet_,785,794,Validator; Internal/private,Assert active raw data source sheet,Raw Data,assertActiveWorkflowSourceSheet_; buildHeaderIndexMap_; getHeaders_; getPMRIndex_; rawDataSourceHeaderRow_,archiveActiveRawDataSheet; formatMonthlySheets; formatRawData; formatRawDataInPlaceSheet_,DEMO_P_PREFIX; HEADER_ROW; MONTHLY_CHANGE_REPORT_PREFIX; assertActiveWorkflowSourceSheet_; buildHeaderIndexMap_; getHeaders_; getPMRIndex_; rawDataSourceHeaderRow_,None detected, + sheet.getName() + ; Raw Data workflow; The active sheet ; DEMO_P_PREFIX; DISENROLLED_EXCLUSION_SHEET; MONTHLY_CHANGE_REPORT_PREFIX,DEMO_P_PREFIX; HEADER_ROW; MONTHLY_CHANGE_REPORT_PREFIX,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 10, branches 1)"
assertActiveBannerSourceSheet_,796,799,Validator; Internal/private,Assert active banner source sheet,Banner sync/formatting,assertActiveWorkflowSourceSheet_,formatBannerReport; formatMonthlySheets,BANNER_PREFIX; BANNER_REPORT_ALT_PREFIX; assertActiveWorkflowSourceSheet_,None detected,Banner workflow; BANNER_PREFIX; BANNER_REPORT_ALT_PREFIX,BANNER_PREFIX; BANNER_REPORT_ALT_PREFIX,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 0)"
assertActiveBannerOutputSheet_,801,809,Validator; Internal/private,Assert active banner output sheet,Banner sync/formatting,assertActiveWorkflowSourceSheet_; validateBannerFormatterOutput_,validateActiveBannerFormatterOutput,BANNER_PREFIX; BANNER_REPORT_ALT_PREFIX; assertActiveWorkflowSourceSheet_; validateBannerFormatterOutput_,None detected,Select a formatted Banner output sheet before running output validation. Active sheet: ; Validate Active Banner Output; BANNER_PREFIX; BANNER_REPORT_ALT_PREFIX,BANNER_PREFIX; BANNER_REPORT_ALT_PREFIX,None detected,None detected,None detected,None detected,None detected,throws errors,None detected,"Low (LOC 9, branches 1)"
preflightMonthlyUpdateForMonth_,811,827,Validator; Internal/private,Implement preflight monthly update for month,Date/month utilities,formatDateForSheetName_; getCurrentDemoPSheet_; getCurrentRawDataSheet_; getPreviousRawDataSheet_; markFrameworkStep_,runMonthlyUpdate,formatDateForSheetName_; getCurrentDemoPSheet_; getCurrentRawDataSheet_; getPreviousRawDataSheet_; markFrameworkStep_,None detected,"));
  }
  if (timing) {
    markFrameworkStep_(timing, ; );
  if (!demoSheet) issues.push(; Current-month Raw Data sheet was not found. Format Raw Data for ; Previous-month Raw Data sheet was not found. Monthly Change comparison requires ",None detected,None detected,None detected,None detected,None detected,None detected,throws errors,markFrameworkStep_,"Low (LOC 17, branches 7)"
applyTemplateColumnWidths_,830,834,Formatter; Internal/private,Implement apply template column widths,Template governance,applyColumnWidthsInRuns_,createActiveDemoPFromRawData_; createOutputSheetFromDashboardTemplate_; createRawDataOutputSheetFromTemplateFast_; enforceDemoPPostFlattenFormatting_,applyColumnWidthsInRuns_,None detected,None detected,None detected,None detected,getColumnWidth(),None detected,None detected,None detected,None explicit,None detected,"Low (LOC 5, branches 1)"
sortSheetDefinitionsByProductionOrder_,836,847,Internal/private,Implement sort sheet definitions by production order,Sheet utilities,getRequiredFrameworkSheetTypes_; normalizeKey_,createOrRefreshAllReportTemplates; setReportTemplateVisibility_; validateReportTemplatesCore_,getRequiredFrameworkSheetTypes_; normalizeKey_,None detected,).localeCompare(String(b && b.sheetType || ,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 12, branches 3)"
notify_,850,856,Internal/private,Implement notify,Shared framework utilities,logBestEffortWarning_,archiveRawSourceAndDeleteLocal_; assignSortOrderAndHideExtraRows; buildDemoPFromScratch; buildMonthlyChangeReportForMonth_; clearDiagnosticsAndTimingLogs; configureArchiveSpreadsheetId; createDisenrolledListForMonth_; createMasterListForMonth_; formatCarePlanDueOrUnlockedFromDashboard_; formatMonthlySheets; formatRawData; hideMonthlySheetsBySpecs_; hideSystemSheetsNow; notifyArchiveMonthlySheetsResult_; notifyErrorWithTiming_; processDemoP; promptForLockedYearReportMonth_; rebuildProductionMonthlyChangeTemplate; runFrameworkSmokeValidation; runMonthlyUpdate; runWithWorkflowBusyFlag_; saveActiveLayoutToDashboardSettings; setupSystemSheets; showAllMasterListRows; showQuickStartToast_; showSystemSheetsNow; sortMasterListByParticipantNameAndPMR_; syncBannerSourceIntoData_; syncCarePlanDueSourceIntoData_; syncMasterListFromCarePlanDue_; syncMasterListFromUnlockedCarePlan_; syncUnlockedCarePlanSourceIntoData_; toggleFrameworkTiming; updateDemoPMonthlySync; writeCombinedFrameworkTimingReport_,logBestEffortWarning_,SpreadsheetApp,Master List Tools,None detected,None detected,getActiveSpreadsheet(),None detected,None detected,None detected,try/catch,logBestEffortWarning_; notify_,"Low (LOC 7, branches 1)"
trimExcessRows_,858,868,Internal/private,Implement trim excess rows,Shared framework utilities,None detected,processDemoP,None detected,None detected,None detected,None detected,None detected,getLastRow(); getMaxRows(),None detected,deleteRows(),None detected,None explicit,None detected,"Low (LOC 11, branches 3)"
hideOldDisenrolledRows_,870,898,Internal/private; Utility,Hide old disenrolled rows,Disenrolled Exclusion,coerceToValidDate_; createLocalDateOnly_; getDataValues_; hideRowNumberBatches_; logBestEffortWarning_,createDisenrolledListForMonth_,DATA_START_ROW; HEADER_ROW; coerceToValidDate_; createLocalDateOnly_; getDataValues_; hideRowNumberBatches_; logBestEffortWarning_,None detected,Disenrolled row unhide skipped: ,DATA_START_ROW; HEADER_ROW,None detected,None detected,None detected,None detected,None detected,try/catch,logBestEffortWarning_,"Low (LOC 29, branches 6)"
showQuickStartToast_,900,903,Internal/private; Utility,Show quick start toast,Shared framework utilities,notify_,quickBuildAllTemplates; quickSystemSetup,notify_,SpreadsheetApp,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,notify_,"Low (LOC 4, branches 0)"
quickSystemSetup,905,922,Menu function; Public entry point,Implement quick system setup,Shared framework utilities,createIndexSheet; rebuildFormatDashboardDefaults; runDashboardQualityStartUp; runFrameworkSmokeValidation; setupSystemSheets; showQuickStartToast_,No static caller detected,createIndexSheet; rebuildFormatDashboardDefaults; runDashboardQualityStartUp; runFrameworkSmokeValidation; setupSystemSheets; showQuickStartToast_,None detected,Quick System Setup [Step 1/5]: Rebuilding Format Dashboard defaults...; Quick System Setup [Step 2/5]: Initializing system sheets and organizing structural tabs...; Quick System Setup [Step 3/5]: Executing Dashboard Quality start-up verifications...; Quick System Setup [Step 5/5]: Building centralized Index dashboard navigation matrix...,None detected,Quick System Setup [Step 1/5]: Rebuilding Format Dashboard defaults...; Quick System Setup [Step 3/5]: Executing Dashboard Quality start-up verifications...; Quick System Setup [Step 5/5]: Building centralized Index dashboard navigation matrix...,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 18, branches 0)"
quickBuildAllTemplates,924,930,Menu function; Public entry point; Formatter,Implement quick build all templates,Template governance,createOrRefreshAllReportTemplates; runDashboardQualityValidateTemplates; showQuickStartToast_,No static caller detected,createOrRefreshAllReportTemplates; runDashboardQualityValidateTemplates; showQuickStartToast_,None detected,Quick Build All Templates complete.; Quick Build All Templates: creating/refreshing templates in place...; Quick Build All Templates: validating templates...,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 7, branches 0)"
notifyErrorWithTiming_,932,934,Internal/private,Implement notify error with timing,Timing/runtime instrumentation,notify_,buildDemoPFromScratch; formatRawData; processDemoP,notify_,None detected,\n⚠️ ⏱️ Timing log updated: Framework Timing Report,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,notify_; notifyErrorWithTiming_,"Low (LOC 3, branches 0)"
isBlankCell_,937,939,Internal/private; Utility,Boolean test for blank cell,Shared framework utilities,None detected,collectFormatDashboardColumnDefinitionVerificationRows_; collectFormatDashboardTitleRowsVerificationRows_; isDashboardBooleanOrBlankCell_; loadColumnDefinitions_; loadSheetDefinitions_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
coerceToValidDate_,942,990,Internal/private; Utility,Implement coerce to valid date,Date/month utilities,createLocalDateOnly_; isReasonableReportDate_; spreadsheetSerialDateToLocalDate_,assignPrimaryRowForBlock_; buildStandardMonthlySheetName_; convertMonthlyChangeReportDateValues_; dateKey_; formatCarePlanDueOrUnlockedFromDashboard_; formatDateDisplay_; formatMonthlyDashboardSheetFromSource_; getMonthDateParts_; getMonthPartsFromTitleRows_; getMostRecentDateFromRowsByHeader_; hideOldDisenrolledRows_; isDateInStrictLocalRangeInclusive_; isExpiredContactPhoneDate_; monthKey_; normalizeCompareValue_; promptForLockedYearReportMonth_,createLocalDateOnly_; isReasonableReportDate_; spreadsheetSerialDateToLocalDate_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 49, branches 15)"
spreadsheetSerialDateToLocalDate_,992,1010,Internal/private; Utility,Implement spreadsheet serial date to local date,Sheet utilities,isReasonableReportDate_,coerceToValidDate_; convertMonthlyChangeReportDateValues_,isReasonableReportDate_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 19, branches 4)"
isReasonableReportDate_,1012,1015,Internal/private; Utility,Boolean test for reasonable report date,Date/month utilities,None detected,coerceToValidDate_; spreadsheetSerialDateToLocalDate_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 0)"
createLocalDateOnly_,1017,1019,Process function; Internal/private,Create local date only,Date/month utilities,None detected,coerceToValidDate_; extractFirstDateFromSheetName_; getTodayLocalDate_; hideOldDisenrolledRows_; isDateInStrictLocalRangeInclusive_; promptForLockedYearReportMonth_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 3, branches 0)"
getTodayLocalDate_,1021,1024,Internal/private; Utility,Resolve or return today local date,Date/month utilities,createLocalDateOnly_,isExpiredContactPhoneDate_; updateDisenrolledExclusionReportDates_,createLocalDateOnly_,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None detected,None explicit,None detected,"Low (LOC 4, branches 0)"
