function,line,phase1_category,public_api_boundary_status,no_static_path_status,undefined_dead_path_status,compatibility_status,approved_action,phase2_batch,consumer_checks_required,testing_required,notes
getResolvedDefaultColumnDefinitionRows_,571,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
writeDashboardDefaultsFast_,605,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
rebuildFormatDashboardDefaults,680,supported_public_menu_callback,SUPPORTED_PUBLIC_MENU_API,NOT_NO_STATIC_OR_MENU_DYNAMIC,PENDING_STATIC_ANALYSIS,NO_WRAPPER_NEEDED,KEEP_PUBLIC,PUBLIC_API_VALIDATION,existence check; menu/trigger smoke,public API smoke; menu/trigger execution,Menu callback; do not rename or remove.
setupReportFormattingDashboardFromScriptDefaults_,684,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
normalizeDashboardSheetTypeKey_,699,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getSheetDefinitionByTypeOrNull_,717,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getSheetDefinitionByType_,724,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
sortSheetDefinitionsByProductionOrder_,730,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
notify_,744,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
trimExcessRows_,752,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
hideOldDisenrolledRows_,764,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
showQuickStartToast_,794,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
quickSystemSetup,799,supported_public_menu_callback,SUPPORTED_PUBLIC_MENU_API,NOT_NO_STATIC_OR_MENU_DYNAMIC,PENDING_STATIC_ANALYSIS,NO_WRAPPER_NEEDED,KEEP_PUBLIC,PUBLIC_API_VALIDATION,existence check; menu/trigger smoke,public API smoke; menu/trigger execution,Menu callback; do not rename or remove.
quickBuildAllTemplates,813,supported_public_menu_callback,SUPPORTED_PUBLIC_MENU_API,NOT_NO_STATIC_OR_MENU_DYNAMIC,PENDING_STATIC_ANALYSIS,NO_WRAPPER_NEEDED,KEEP_PUBLIC,PUBLIC_API_VALIDATION,existence check; menu/trigger smoke,public API smoke; menu/trigger execution,Menu callback; do not rename or remove.
notifyErrorWithTiming_,821,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
isBlankCell_,826,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
coerceToValidDate_,831,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
spreadsheetSerialDateToLocalDate_,881,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
isReasonableReportDate_,901,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
createLocalDateOnly_,906,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getTodayLocalDate_,910,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getMonthDateParts_,915,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
formatDateForSheetName_,940,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
formatDateDisplay_,944,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
dateKey_,949,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
isSameDate_,954,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
isSameMonth_,958,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
buildMonthlySheetName_,963,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
buildStandardMonthlySheetName_,968,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getNewestFormattedMonthlySheetByPrefix_,974,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getMonthlySheetByPrefixAndDate_,1005,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
setUniqueSheetName_,1039,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getHeaders_,1072,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getHeaderMap_,1092,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
buildHeaderIndexMap_,1107,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
findHeaderIndex_,1116,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
normalizeHeader_,1123,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
normalizePMR_,1131,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getPMRIndex_,1138,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
validateRawDataPreflightForDemoP_,1142,diagnostic_or_validation_entry_point_review,DIAGNOSTIC_PUBLIC_DECISION_REQUIRED,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,WRAPPER_REQUIRED_IF_RENAMED,REVIEW_KEEP_PUBLIC_OR_TEST_ONLY,DIAGNOSTIC_API_REVIEW,direct callers; string references; menu callbacks; triggers; HTML/google.script.run; external/library consumers; Dashboard Quality/Health checks,staging smoke if changed,Keep callable through v1.6.70 testing; decide in Phase 2.
getDOBIndex_,1174,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
normalizeKeyPart_,1178,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getDataValues_,1197,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getRawDataSourceDataForOutput_,1237,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
rawDataSourceHeaderRow_,1271,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
ensurePrimaryPMRRowColumn_,1286,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
assignPrimaryRowForBlock_,1303,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
deleteRowNumberBatches_,1341,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
buildMasterListHeadersBeforeDataCopy_,1375,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
ensureHeaders_,1385,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
ensureBannerSummaryOutputHeaders_,1412,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
ensureContactOutputHeaders_,1416,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
trimOutputSheetToDataSize_,1430,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
copyChangedPMRsFromDemoPToMasterList_,1440,internal_no_static_path_review,INTERNAL_REVIEW_POOL,NO_STATIC_PATH,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_CONFIRMED_INTERNAL,CANDIDATE_FOR_AGGRESSIVE_REMOVAL_REVIEW,AGGRESSIVE_INTERNAL_CANDIDATE,direct callers; string references; menu callbacks; triggers; HTML/google.script.run; external/library consumers; Dashboard Quality/Health checks,syntax; menu callback scan; Dashboard Quality; full workflow staging pass,Candidate for large cleanup batch only after dynamic/external checks.
applyFinalRowHeightLock_,1475,internal_no_static_path_review,INTERNAL_REVIEW_POOL,NO_STATIC_PATH,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_CONFIRMED_INTERNAL,CANDIDATE_FOR_AGGRESSIVE_REMOVAL_REVIEW,AGGRESSIVE_INTERNAL_CANDIDATE,direct callers; string references; menu callbacks; triggers; HTML/google.script.run; external/library consumers; Dashboard Quality/Health checks,syntax; menu callback scan; Dashboard Quality; full workflow staging pass,Candidate for large cleanup batch only after dynamic/external checks.
normalizeCompareValue_,1481,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
valuesAreEqual_,1511,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
normalizeText_,1515,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
normalizeKey_,1519,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
numberOrDefault_,1523,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
parseBoolean_,1528,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
clearHeaderCacheForSheet_,1538,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
clearSheetRuntimeCachesForSheet_,1553,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getHeaderCacheKey_,1558,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
clearMonthlySheetLookupCache_,1565,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getGovernedNewSheetInsertIndex_,1571,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
insertGovernedOutputSheet_,1601,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getOperationalNewSheetInsertIndex_,1607,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
getMonthlySheetLookupCacheKey_,1629,internal_helper,INTERNAL_HELPER_RETAIN,HAS_STATIC_OR_STRING_REFERENCE,PENDING_STATIC_ANALYSIS,NO_WRAPPER_IF_INTERNAL,RETAIN_INTERNAL,STATIC_REGRESSION_ONLY,existence check; static regression,staging smoke if changed,Retain unless later consolidation identifies a safe change.
