function,line,category,public_like,trailing_underscore,menu_callback,trigger_callback,static_call_count,string_reference_count,recommendation
getSheetDefinitionByTypeOrNull_,717,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getSheetDefinitionByType_,724,internal_helper,FALSE,TRUE,FALSE,FALSE,24,0,Keep private-style name; no action unless consolidation is approved.
sortSheetDefinitionsByProductionOrder_,730,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
notify_,744,internal_helper,FALSE,TRUE,FALSE,FALSE,44,0,Keep private-style name; no action unless consolidation is approved.
trimExcessRows_,752,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
hideOldDisenrolledRows_,764,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
showQuickStartToast_,794,internal_helper,FALSE,TRUE,FALSE,FALSE,9,0,Keep private-style name; no action unless consolidation is approved.
quickSystemSetup,799,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,2,Keep public; menu callback strings require stable top-level function name.
quickBuildAllTemplates,813,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,2,Keep public; menu callback strings require stable top-level function name.
notifyErrorWithTiming_,821,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
isBlankCell_,826,internal_helper,FALSE,TRUE,FALSE,FALSE,7,0,Keep private-style name; no action unless consolidation is approved.
coerceToValidDate_,831,internal_helper,FALSE,TRUE,FALSE,FALSE,32,0,Keep private-style name; no action unless consolidation is approved.
spreadsheetSerialDateToLocalDate_,881,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
isReasonableReportDate_,901,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
createLocalDateOnly_,906,internal_helper,FALSE,TRUE,FALSE,FALSE,12,0,Keep private-style name; no action unless consolidation is approved.
getTodayLocalDate_,910,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
getMonthDateParts_,915,internal_helper,FALSE,TRUE,FALSE,FALSE,8,0,Keep private-style name; no action unless consolidation is approved.
formatDateForSheetName_,940,internal_helper,FALSE,TRUE,FALSE,FALSE,12,0,Keep private-style name; no action unless consolidation is approved.
formatDateDisplay_,944,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
dateKey_,949,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
isSameDate_,954,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
isSameMonth_,958,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
buildMonthlySheetName_,963,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
buildStandardMonthlySheetName_,968,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
getNewestFormattedMonthlySheetByPrefix_,974,internal_helper,FALSE,TRUE,FALSE,FALSE,11,0,Keep private-style name; no action unless consolidation is approved.
getMonthlySheetByPrefixAndDate_,1005,internal_helper,FALSE,TRUE,FALSE,FALSE,13,0,Keep private-style name; no action unless consolidation is approved.
setUniqueSheetName_,1039,internal_helper,FALSE,TRUE,FALSE,FALSE,8,0,Keep private-style name; no action unless consolidation is approved.
getHeaders_,1072,internal_helper,FALSE,TRUE,FALSE,FALSE,24,0,Keep private-style name; no action unless consolidation is approved.
getHeaderMap_,1092,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
buildHeaderIndexMap_,1107,internal_helper,FALSE,TRUE,FALSE,FALSE,27,0,Keep private-style name; no action unless consolidation is approved.
findHeaderIndex_,1116,internal_helper,FALSE,TRUE,FALSE,FALSE,8,0,Keep private-style name; no action unless consolidation is approved.
normalizeHeader_,1123,internal_helper,FALSE,TRUE,FALSE,FALSE,12,1,Keep private-style name; no action unless consolidation is approved.
normalizePMR_,1131,internal_helper,FALSE,TRUE,FALSE,FALSE,45,0,Keep private-style name; no action unless consolidation is approved.
getPMRIndex_,1138,internal_helper,FALSE,TRUE,FALSE,FALSE,39,0,Keep private-style name; no action unless consolidation is approved.
validateRawDataPreflightForDemoP_,1142,diagnostic_or_validation_entry_point_review,FALSE,TRUE,FALSE,FALSE,5,0,Classify as supported diagnostic API or test-only entry point before renaming.
getDOBIndex_,1174,internal_helper,FALSE,TRUE,FALSE,FALSE,7,0,Keep private-style name; no action unless consolidation is approved.
normalizeKeyPart_,1178,internal_helper,FALSE,TRUE,FALSE,FALSE,14,0,Keep private-style name; no action unless consolidation is approved.
getDataValues_,1197,internal_helper,FALSE,TRUE,FALSE,FALSE,28,0,Keep private-style name; no action unless consolidation is approved.
getRawDataSourceDataForOutput_,1237,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
rawDataSourceHeaderRow_,1271,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
ensurePrimaryPMRRowColumn_,1286,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
assignPrimaryRowForBlock_,1303,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
deleteRowNumberBatches_,1341,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
buildMasterListHeadersBeforeDataCopy_,1375,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
ensureHeaders_,1385,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
ensureBannerSummaryOutputHeaders_,1412,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
ensureContactOutputHeaders_,1416,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
trimOutputSheetToDataSize_,1430,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
copyChangedPMRsFromDemoPToMasterList_,1440,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
applyFinalRowHeightLock_,1475,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
normalizeCompareValue_,1481,internal_helper,FALSE,TRUE,FALSE,FALSE,33,0,Keep private-style name; no action unless consolidation is approved.
valuesAreEqual_,1511,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
normalizeText_,1515,internal_helper,FALSE,TRUE,FALSE,FALSE,4,1,Keep private-style name; no action unless consolidation is approved.
normalizeKey_,1519,internal_helper,FALSE,TRUE,FALSE,FALSE,6,1,Keep private-style name; no action unless consolidation is approved.
numberOrDefault_,1523,internal_helper,FALSE,TRUE,FALSE,FALSE,48,0,Keep private-style name; no action unless consolidation is approved.
parseBoolean_,1528,internal_helper,FALSE,TRUE,FALSE,FALSE,11,0,Keep private-style name; no action unless consolidation is approved.
clearHeaderCacheForSheet_,1538,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
clearSheetRuntimeCachesForSheet_,1553,internal_helper,FALSE,TRUE,FALSE,FALSE,42,0,Keep private-style name; no action unless consolidation is approved.
getHeaderCacheKey_,1558,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
clearMonthlySheetLookupCache_,1565,internal_helper,FALSE,TRUE,FALSE,FALSE,6,0,Keep private-style name; no action unless consolidation is approved.
getGovernedNewSheetInsertIndex_,1571,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
insertGovernedOutputSheet_,1601,internal_helper,FALSE,TRUE,FALSE,FALSE,8,0,Keep private-style name; no action unless consolidation is approved.
getOperationalNewSheetInsertIndex_,1607,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getMonthlySheetLookupCacheKey_,1629,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getSheetDimensionCacheKey_,1636,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
clearSheetDimensionCacheForSheet_,1640,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getSheetDimensions_,1646,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
dateOnlyLocalClone_,1666,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
monthKey_,1672,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
parseStandardMonthlySheetDateFromName_,1677,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
buildRowsByPMR_,1697,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
safeSheetName_,1732,internal_helper,FALSE,TRUE,FALSE,FALSE,1,1,Keep private-style name; no action unless consolidation is approved.
compareValues_,1739,internal_helper,FALSE,TRUE,FALSE,FALSE,0,1,Keep private-style name; no action unless consolidation is approved.
toBool_,1743,internal_helper,FALSE,TRUE,FALSE,FALSE,0,1,Keep private-style name; no action unless consolidation is approved.
truthy_,1747,internal_helper,FALSE,TRUE,FALSE,FALSE,0,1,Keep private-style name; no action unless consolidation is approved.
toNumber_,1751,internal_helper,FALSE,TRUE,FALSE,FALSE,0,1,Keep private-style name; no action unless consolidation is approved.
resizeSheetMinimum_,1755,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
getThemeColorsFromBase_,1771,internal_helper,FALSE,TRUE,FALSE,FALSE,14,0,Keep private-style name; no action unless consolidation is approved.
getGlobalBorderStyle_,1782,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
normalizeHex_,1787,internal_helper,FALSE,TRUE,FALSE,FALSE,6,1,Keep private-style name; no action unless consolidation is approved.
hexWithHslLightness_,1798,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
hexToRgb_,1805,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
rgbToHex_,1814,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
rgbToHsl_,1822,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
hslToRgb_,1844,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
startRuntimeTiming_,1867,internal_helper,FALSE,TRUE,FALSE,FALSE,7,0,Keep private-style name; no action unless consolidation is approved.
markRuntimeStep_,1880,internal_helper,FALSE,TRUE,FALSE,FALSE,78,0,Keep private-style name; no action unless consolidation is approved.
addRuntimeCounter_,1912,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
logRuntimeInfo_,1917,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
logRuntimeWarning_,1922,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
logRuntimeError_,1927,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
logBestEffortWarning_,1932,internal_helper,FALSE,TRUE,FALSE,FALSE,106,0,Keep private-style name; no action unless consolidation is approved.
logRuntimeTiming_,1936,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getRuntimeTimingSeverity_,1953,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
getRuntimeTimingReportName_,1961,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
writeRuntimeTimingReport_,1965,internal_helper,FALSE,TRUE,FALSE,FALSE,16,0,Keep private-style name; no action unless consolidation is approved.
writeRuntimeTimingReportBestEffort_,1969,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeConsolidatedTimingSummaryReport_,1981,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeCombinedFrameworkTimingReport_,1985,internal_helper,FALSE,TRUE,FALSE,FALSE,9,0,Keep private-style name; no action unless consolidation is approved.
getFrameworkTimingRetentionLimit_,2003,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getFrameworkTimingReportSheetName_,2007,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getFrameworkTimingSectionRegistry_,2011,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
findFrameworkTimingSectionRow_,2036,internal_helper,FALSE,TRUE,FALSE,FALSE,6,0,Keep private-style name; no action unless consolidation is approved.
findNextFrameworkTimingSectionRow_,2049,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
collectExistingFrameworkTimingSectionBlocks_,2062,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
buildDefaultFrameworkTimingSectionBlock_,2081,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
normalizeFrameworkTimingSectionBlock_,2093,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
rebuildFrameworkTimingReportShellCompact_,2123,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
hasFrameworkTimingReportShell_,2165,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
initializeFrameworkTimingSheet_,2191,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
ensureFrameworkTimingReport_,2210,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
trimSheetToColumnCount_,2214,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
styleFrameworkTimingReport_,2228,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
getFrameworkTimingSectionForId_,2331,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
replaceFrameworkTimingSectionRows_,2339,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
getFrameworkTimingBenchmarkForProcess_,2384,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getFrameworkTimingThresholdForSeverity_,2402,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
ensureFrameworkTimingReportShell_,2410,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
getFrameworkTimingDetailStartRow_,2419,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
getFrameworkTimingDetailRows_,2426,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
getLatestFrameworkTimingRowsByProcess_,2450,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getFrameworkTimingBenchmarkSeverity_,2471,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getFrameworkTimingModeForStep_,2481,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
mergeFrameworkTimingModes_,2490,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
buildFrameworkTimingProcessSummaryRows_,2495,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
formatTimingTimestampForSummary_,2573,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
buildFrameworkTimingIssueRows_,2583,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
buildFrameworkTimingRecommendationRows_,2613,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeFrameworkPerformanceRecommendationsSheet_,2630,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getPerformanceRecommendationForTimingStep_,2634,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
worseTimingSeverity_,2674,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
appendRuntimeTimingToFrameworkTimingReport_,2681,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
formatSeconds_,2707,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
refreshFrameworkTimingReport,2716,diagnostic_or_validation_entry_point_review,TRUE,FALSE,FALSE,FALSE,0,0,Classify as supported diagnostic API or test-only entry point before renaming.
writeFrameworkTimingPerformanceRecommendations,2720,diagnostic_or_validation_entry_point_review,TRUE,FALSE,FALSE,FALSE,0,0,Classify as supported diagnostic API or test-only entry point before renaming.
onOpen,2777,supported_public_simple_trigger,TRUE,FALSE,FALSE,TRUE,0,0,Keep public; Apps Script simple trigger entry point.
isFrameworkTimingEnabled_,2855,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
toggleFrameworkTiming,2864,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
hideTemplates_,2872,supported_public_menu_callback,FALSE,TRUE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
showTemplates_,2876,supported_public_menu_callback,FALSE,TRUE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
hideSystemSheets_,2880,supported_public_menu_callback,FALSE,TRUE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
showSystemSheets_,2884,supported_public_menu_callback,FALSE,TRUE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
formatDashboard,2888,public_like_review_required,TRUE,FALSE,FALSE,FALSE,0,1,Do not make private until external/manual consumers are checked; add wrapper before rename.
saveActiveLayoutToDashboardSettings,2892,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
saveFormatDashboardConfigChanges_,2931,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
resolveSheetDefinitionForLayoutSnapshot_,2944,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
captureActiveSheetLayoutSnapshot_,2963,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getHiddenColumnFlags_,3016,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
isDateNumberFormat_,3024,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getDefaultLayoutSnapshotBorderConfig_,3029,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
upsertDashboardSheetDefinitionBaseColor_,3042,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
upsertDashboardColumnDefinitionRows_,3066,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getDashboardSectionBounds_,3103,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
ensureDashboardSectionDataCapacity_,3131,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
writeDashboardLayoutSnapshotSection_,3147,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
applyLayoutSnapshotBorder_,3188,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
clearDiagnosticsAndTimingLogs,3202,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,0,3,Keep public; menu callback strings require stable top-level function name.
clearDashboardConfigCache_,3313,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getDashboardConfigCacheKey_,3318,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getFormatDashboardSectionNames_,3335,internal_no_static_path_review,FALSE,TRUE,FALSE,FALSE,0,0,Review for dynamic/manual/library use before removal or rename.
getRequiredFrameworkSheetTypes_,3347,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getDefaultGlobalSettingsRows_,3361,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getDefaultTitleRowRows_,3426,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
getDefaultSheetDefinitionRows_,3435,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getDefaultSheetDefinitionRowsWithColumnCounts_,3448,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getDefaultBehaviorRows_,3463,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getDefaultSystemSurfaceRows_,3476,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
getDefaultSheetHeaderRows_,3487,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getDefaultHeaderSets_,3502,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
createOrRefreshAllReportTemplates,3840,supported_public_menu_callback,TRUE,FALSE,TRUE,FALSE,1,4,Keep public; menu callback strings require stable top-level function name.
ensureGoldenMasterTemplate_,3889,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
moveTemplateBeforeBaseTemplate_,3928,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
organizeTemplateTabsBeforeBaseTemplate_,3947,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
summarizeTemplateRefreshModes_,3958,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
hideReportTemplates,3969,public_like_review_required,TRUE,FALSE,FALSE,FALSE,2,2,Do not make private until external/manual consumers are checked; add wrapper before rename.
showReportTemplates,3976,public_like_review_required,TRUE,FALSE,FALSE,FALSE,1,2,Do not make private until external/manual consumers are checked; add wrapper before rename.
setReportTemplateVisibility_,3983,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
validateReportTemplates,4018,diagnostic_or_validation_entry_point_review,TRUE,FALSE,FALSE,FALSE,0,1,Classify as supported diagnostic API or test-only entry point before renaming.
validateReportTemplatesCore_,4026,diagnostic_or_validation_entry_point_review,FALSE,TRUE,FALSE,FALSE,2,0,Classify as supported diagnostic API or test-only entry point before renaming.
loadDashboardConfig_,4036,internal_helper,FALSE,TRUE,FALSE,FALSE,48,1,Keep private-style name; no action unless consolidation is approved.
buildDashboardSectionIndex_,4081,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
loadGlobalSettings_,4103,internal_helper,FALSE,TRUE,FALSE,FALSE,3,0,Keep private-style name; no action unless consolidation is approved.
loadTitleRows_,4148,internal_helper,FALSE,TRUE,FALSE,FALSE,1,0,Keep private-style name; no action unless consolidation is approved.
parseTitleRowConfigRow_,4183,internal_helper,FALSE,TRUE,FALSE,FALSE,4,0,Keep private-style name; no action unless consolidation is approved.
normalizeTitleTargetCell_,4209,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
getTitleRowConfigForSheet_,4215,internal_helper,FALSE,TRUE,FALSE,FALSE,5,0,Keep private-style name; no action unless consolidation is approved.
getThemeFillForTitleRow_,4223,internal_helper,FALSE,TRUE,FALSE,FALSE,2,0,Keep private-style name; no action unless consolidation is approved.
